"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"XZM2CRK45WT-9","SunLED","1497-1332-1-ND","","","Cut Tape (CT)","Active","2","0.69000","$1.38","2967","6 Weeks","LED RED CLEAR 2PLCC SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"3008TR","Keystone Electronics","36-3008CT-ND","","","Cut Tape (CT)","Active","1","1.46000","$1.46","40382","6 Weeks","BATTERY RETAINER COIN SMD TAB","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGP1206F330R","TE Connectivity Passive Product","A130532CT-ND","","","Cut Tape (CT)","Active","2","0.31000","$0.62","33462","Not Available","CRGP 1206 330R 1%","RoHS Compliant","Lead free","Not Available"
