Designator,Footprint,Mid X,Mid Y,Rotation,Layer
C1,C_0805_2012Metric,-109.929044,-112.945605,90.000000,bottom
C2,C_0805_2012Metric,-109.850261,-117.293743,-90.000000,bottom
SW1,switch_JS202011SCQN,-87.970520,-122.213928,0.000000,bottom
VR1,SOT-89-3,-104.562521,-116.704189,180.000000,bottom
